Fri Apr 20 17:41:55 2018    /home/hrchen/Github/Github_public/cNMA/Manual/Example/Example4/Output/profiler.pro

         10909573 function calls (10871890 primitive calls) in 29.395 seconds

   Ordered by: cumulative time
   List reduced from 1121 to 15 due to restriction <15>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   29.395   29.395 /home/hrchen/Github/Github_public/cNMA/Software/NMAUnified.py:852(mainCalculation)
        1    0.001    0.001   23.930   23.930 /home/hrchen/Github/Github_public/cNMA/Software/NMAUnified.py:313(setupNMA)
        1    0.005    0.005   23.635   23.635 /home/hrchen/Github/Github_public/cNMA/Software/ANMs.py:144(calcANMsUnified)
        2    0.010    0.005   16.577    8.288 /home/hrchen/Github/Github_public/cNMA/Software/ANMs.py:1360(calcCustomH_ANew)
    42487    0.548    0.000   16.348    0.000 /home/hrchen/anaconda2/lib/python2.7/site-packages/prody/atomic/pointer.py:46(__eq__)
    42513    0.762    0.000   14.631    0.000 /home/hrchen/anaconda2/lib/python2.7/site-packages/prody/atomic/atomgroup.py:266(__eq__)
      167    0.102    0.001   13.879    0.083 /home/hrchen/Github/Github_public/cNMA/Software/Utils.py:374(getMatchingStructureSelections)
    42535    0.443    0.000   12.986    0.000 {all}
   616538    6.232    0.000   12.542    0.000 /home/hrchen/anaconda2/lib/python2.7/site-packages/prody/atomic/atomgroup.py:273(<genexpr>)
   659824    1.551    0.000    6.256    0.000 /home/hrchen/anaconda2/lib/python2.7/site-packages/numpy/core/fromnumeric.py:2021(all)
      111    0.032    0.000    5.908    0.053 /home/hrchen/Github/Github_public/cNMA/Software/ANMs.py:2098(getCalphaPosition)
        1    0.005    0.005    3.933    3.933 /home/hrchen/Github/Github_public/cNMA/Software/ANMs.py:1465(calcCustomH_ANew_IJ)
   663421    0.941    0.000    3.330    0.000 {method 'all' of 'numpy.ndarray' objects}
     2373    0.330    0.000    2.948    0.001 {zip}
   524691    0.928    0.000    2.934    0.000 /home/hrchen/anaconda2/lib/python2.7/site-packages/prody/atomic/subset.py:109(iterAtoms)


